title,genre,release_date,popularity,release_year
Impossible Things,Family,2021-06-17,14.358,2021
Impossible Things,Drama,2021-06-17,14.358,2021
Your Eyes Tell,Romance,2020-10-23,51.345,2020
Your Eyes Tell,Drama,2020-10-23,51.345,2020
Gabriel's Inferno,Romance,2020-05-29,12.674,2020
Gabriel's Inferno: Part II,Romance,2020-07-31,14.924,2020
Gabriel's Inferno: Part III,Romance,2020-11-19,47.608,2020
Gabriel's Inferno: Part III,Comedy,2020-11-19,47.608,2020
Violet Evergarden: The Movie,Animation,2020-09-18,23.933,2020
Violet Evergarden: The Movie,Fantasy,2020-09-18,23.933,2020
Violet Evergarden: The Movie,Romance,2020-09-18,23.933,2020
Violet Evergarden: The Movie,Drama,2020-09-18,23.933,2020
"Josee, the Tiger and the Fish",Animation,2020-12-25,178.195,2020
"Josee, the Tiger and the Fish",Drama,2020-12-25,178.195,2020
"Josee, the Tiger and the Fish",Romance,2020-12-25,178.195,2020
Evangelion: 3.0+1.0 Thrice Upon a Time,Animation,2021-03-08,108.156,2021
Evangelion: 3.0+1.0 Thrice Upon a Time,Action,2021-03-08,108.156,2021
Evangelion: 3.0+1.0 Thrice Upon a Time,Science Fiction,2021-03-08,108.156,2021
Evangelion: 3.0+1.0 Thrice Upon a Time,Drama,2021-03-08,108.156,2021
Wolfwalkers,Animation,2020-10-26,17.052,2020
Wolfwalkers,Family,2020-10-26,17.052,2020
Wolfwalkers,Adventure,2020-10-26,17.052,2020
Wolfwalkers,Fantasy,2020-10-26,17.052,2020
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Animation,2020-10-16,802.132,2020
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Action,2020-10-16,802.132,2020
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Adventure,2020-10-16,802.132,2020
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Fantasy,2020-10-16,802.132,2020
Given,Animation,2020-08-22,92.227,2020
Given,Drama,2020-08-22,92.227,2020
Given,Music,2020-08-22,92.227,2020
Given,Romance,2020-08-22,92.227,2020
Top Gun: Maverick,Action,2022-05-24,7567.017,2022
Top Gun: Maverick,Drama,2022-05-24,7567.017,2022
Clouds,Music,2020-10-09,21.826,2020
Clouds,Drama,2020-10-09,21.826,2020
Clouds,Romance,2020-10-09,21.826,2020
Hamilton,History,2020-07-03,11.644,2020
Hamilton,Drama,2020-07-03,11.644,2020
Justice League Dark: Apokolips War,Animation,2020-05-05,41.778,2020
Justice League Dark: Apokolips War,Action,2020-05-05,41.778,2020
Justice League Dark: Apokolips War,Adventure,2020-05-05,41.778,2020
Justice League Dark: Apokolips War,Fantasy,2020-05-05,41.778,2020
Justice League Dark: Apokolips War,Science Fiction,2020-05-05,41.778,2020
Life in a Year,Drama,2020-11-27,114.889,2020
Life in a Year,Romance,2020-11-27,114.889,2020
Zack Snyder's Justice League,Action,2021-03-18,325.801,2021
Zack Snyder's Justice League,Adventure,2021-03-18,325.801,2021
Zack Snyder's Justice League,Fantasy,2021-03-18,325.801,2021
Zack Snyder's Justice League,Science Fiction,2021-03-18,325.801,2021
Everything Everywhere All at Once,Action,2022-03-24,309.567,2022
Everything Everywhere All at Once,Adventure,2022-03-24,309.567,2022
Everything Everywhere All at Once,Science Fiction,2022-03-24,309.567,2022
Black Beauty,Drama,2020-11-27,12.203,2020
"Miraculous World: New York, United HeroeZ",Animation,2020-09-25,245.422,2020
"Miraculous World: New York, United HeroeZ",Family,2020-09-25,245.422,2020
"Miraculous World: New York, United HeroeZ",Adventure,2020-09-25,245.422,2020
"Miraculous World: New York, United HeroeZ",TV Movie,2020-09-25,245.422,2020
"Miraculous World: New York, United HeroeZ",Fantasy,2020-09-25,245.422,2020
"Miraculous World: New York, United HeroeZ",Action,2020-09-25,245.422,2020
Mortal Kombat Legends: Scorpion's Revenge,Animation,2020-04-12,38.476,2020
Mortal Kombat Legends: Scorpion's Revenge,Action,2020-04-12,38.476,2020
Mortal Kombat Legends: Scorpion's Revenge,Fantasy,2020-04-12,38.476,2020
New Gods: Nezha Reborn,Animation,2021-02-06,76.935,2021
New Gods: Nezha Reborn,Action,2021-02-06,76.935,2021
New Gods: Nezha Reborn,Fantasy,2021-02-06,76.935,2021
Bo Burnham: Inside,Comedy,2021-07-22,8.717,2021
Soul,Animation,2020-12-25,175.175,2020
Soul,Family,2020-12-25,175.175,2020
Soul,Comedy,2020-12-25,175.175,2020
Soul,Fantasy,2020-12-25,175.175,2020
Soul,Drama,2020-12-25,175.175,2020
The Father,Drama,2020-12-23,22.528,2020
Me Against You: Mr. S's Vendetta,Comedy,2020-01-17,7.143,2020
Me Against You: Mr. S's Vendetta,Family,2020-01-17,7.143,2020
Nobody,Action,2021-03-18,181.22,2021
Nobody,Crime,2021-03-18,181.22,2021
Nobody,Thriller,2021-03-18,181.22,2021
Far From the Tree,Animation,2021-11-24,94.009,2021
Far From the Tree,Family,2021-11-24,94.009,2021
Cruella,Comedy,2021-05-26,309.589,2021
Cruella,Crime,2021-05-26,309.589,2021
Paper Lives,Drama,2021-03-12,27.235,2021
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Animation,2021-09-14,133.638,2021
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Comedy,2021-09-14,133.638,2021
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Mystery,2021-09-14,133.638,2021
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Family,2021-09-14,133.638,2021
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Fantasy,2021-09-14,133.638,2021
Ron's Gone Wrong,Animation,2021-10-15,224.167,2021
Ron's Gone Wrong,Science Fiction,2021-10-15,224.167,2021
Ron's Gone Wrong,Family,2021-10-15,224.167,2021
Ron's Gone Wrong,Comedy,2021-10-15,224.167,2021
Finch,Science Fiction,2021-11-04,194.632,2021
Finch,Drama,2021-11-04,194.632,2021
Finch,Adventure,2021-11-04,194.632,2021
Sing 2,Animation,2021-12-01,545.619,2021
Sing 2,Comedy,2021-12-01,545.619,2021
Sing 2,Family,2021-12-01,545.619,2021
Sing 2,Music,2021-12-01,545.619,2021
Spider-Man: No Way Home,Action,2021-12-15,1713.86,2021
Spider-Man: No Way Home,Adventure,2021-12-15,1713.86,2021
Spider-Man: No Way Home,Science Fiction,2021-12-15,1713.86,2021
All My Life,Romance,2020-10-23,17.382,2020
All My Life,Drama,2020-10-23,17.382,2020
Wish Dragon,Animation,2021-01-15,135.036,2021
Wish Dragon,Family,2021-01-15,135.036,2021
Wish Dragon,Comedy,2021-01-15,135.036,2021
Wish Dragon,Fantasy,2021-01-15,135.036,2021
Palmer,Drama,2021-01-29,51.52,2021
CODA,Drama,2021-08-11,46.461,2021
CODA,Music,2021-08-11,46.461,2021
CODA,Romance,2021-08-11,46.461,2021
"Veinteañera, Divorciada y Fantástica",Comedy,2020-02-14,9.596,2020
El mesero,Comedy,2021-07-15,70.415,2021
Belle,Animation,2021-07-16,230.739,2021
Belle,Drama,2021-07-16,230.739,2021
Belle,Science Fiction,2021-07-16,230.739,2021
Belle,Music,2021-07-16,230.739,2021
The Mitchells vs. the Machines,Animation,2021-04-22,35.807,2021
The Mitchells vs. the Machines,Adventure,2021-04-22,35.807,2021
The Mitchells vs. the Machines,Comedy,2021-04-22,35.807,2021
A Whisker Away,Animation,2020-06-18,69.562,2020
A Whisker Away,Drama,2020-06-18,69.562,2020
A Whisker Away,Romance,2020-06-18,69.562,2020
A Whisker Away,Fantasy,2020-06-18,69.562,2020
Raya and the Last Dragon,Animation,2021-03-03,221.83,2021
Raya and the Last Dragon,Family,2021-03-03,221.83,2021
Raya and the Last Dragon,Fantasy,2021-03-03,221.83,2021
Raya and the Last Dragon,Action,2021-03-03,221.83,2021
Raya and the Last Dragon,Adventure,2021-03-03,221.83,2021
Words on Bathroom Walls,Drama,2020-08-21,11.647,2020
Words on Bathroom Walls,Romance,2020-08-21,11.647,2020
An Egg Rescue,Animation,2021-08-12,164.059,2021
An Egg Rescue,Comedy,2021-08-12,164.059,2021
Girl in the Basement,Crime,2021-02-27,222.729,2021
Girl in the Basement,Thriller,2021-02-27,222.729,2021
My Father's Violin,Drama,2022-01-21,33.154,2022
My Father's Violin,Music,2022-01-21,33.154,2022
The Tomorrow War,Action,2021-07-02,256.603,2021
The Tomorrow War,Science Fiction,2021-07-02,256.603,2021
The Tomorrow War,Adventure,2021-07-02,256.603,2021
Us Again,Animation,2021-03-03,7.785,2021
Us Again,Romance,2021-03-03,7.785,2021
Us Again,Drama,2021-03-03,7.785,2021
The Black Phone,Horror,2022-06-22,5278.336,2022
The Black Phone,Thriller,2022-06-22,5278.336,2022
Charm City Kings,Drama,2020-01-27,21.532,2020
Luca,Animation,2021-06-17,341.705,2021
Luca,Comedy,2021-06-17,341.705,2021
Luca,Family,2021-06-17,341.705,2021
Luca,Fantasy,2021-06-17,341.705,2021
My Little Pony: A New Generation,Animation,2021-09-23,90.393,2021
My Little Pony: A New Generation,Family,2021-09-23,90.393,2021
My Little Pony: A New Generation,Fantasy,2021-09-23,90.393,2021
My Little Pony: A New Generation,Comedy,2021-09-23,90.393,2021
My Little Pony: A New Generation,Music,2021-09-23,90.393,2021
My Little Pony: A New Generation,Adventure,2021-09-23,90.393,2021
You've Got This,Romance,2020-10-02,11.641,2020
You've Got This,Comedy,2020-10-02,11.641,2020
Miraculous World: Shanghai – The Legend of Ladydragon,Animation,2021-05-15,268.031,2021
Miraculous World: Shanghai – The Legend of Ladydragon,Family,2021-05-15,268.031,2021
Miraculous World: Shanghai – The Legend of Ladydragon,Adventure,2021-05-15,268.031,2021
Miraculous World: Shanghai – The Legend of Ladydragon,Fantasy,2021-05-15,268.031,2021
Miraculous World: Shanghai – The Legend of Ladydragon,Action,2021-05-15,268.031,2021
Miraculous World: Shanghai – The Legend of Ladydragon,TV Movie,2021-05-15,268.031,2021
The Seven Deadly Sins: Cursed by Light,Animation,2021-07-02,452.698,2021
The Seven Deadly Sins: Cursed by Light,Fantasy,2021-07-02,452.698,2021
Dune,Science Fiction,2021-09-08,216.157,2021
Dune,Adventure,2021-09-08,216.157,2021
Rurouni Kenshin: The Final,Action,2021-04-23,62.242,2021
Rurouni Kenshin: The Final,Adventure,2021-04-23,62.242,2021
Rurouni Kenshin: The Final,Drama,2021-04-23,62.242,2021
Hustle,Drama,2022-06-03,966.604,2022
Hustle,Comedy,2022-06-03,966.604,2022
Cindy La Regia,Comedy,2020-01-24,13.303,2020
Cindy La Regia,Romance,2020-01-24,13.303,2020
We Bare Bears: The Movie,Animation,2020-06-30,85.597,2020
We Bare Bears: The Movie,Adventure,2020-06-30,85.597,2020
We Bare Bears: The Movie,Family,2020-06-30,85.597,2020
